key,zh,cat,value,winRate,fightUptime,returns,decidedRate,minutes,k,d,a,groupedFights,roamEpisodes,roamEngaged,roamPaid,roamMissed,roamEngageRate,roamPaidRate,roamDeclined,roamAborted,roamRetargeted,roamDeclineRate,roamLaneTop,roamLaneMid,roamLaneBot,retreatAtMean,tfRolls,tfGoRate,tfBehindRate,tfEpisodes,tfWonRate,tfPeakMean,tfHeadMean,tfSoloEntry,tfSoloRate,tfReadyAtEngage,tfArrivalSpread,tfCommit,tfHoldN,tfDecline,tfBadCommit,tfBadCommitRate,tfDeclineRate,tfExchange,dragonContests,baronContests,objSpawns,objRallies,objRallyRate,objRallyDelay,objHeadMean,objHeadPeak,objKills,objKillRate,objRolls,objRollGoRate,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
comms,溝通,團隊,40,0.5132743362831859,0.810664163370925,74.29166666666667,0.9416666666666667,23.39479166666666,12.475,13.125,6.425,21.533333333333335,4.591666666666667,1.3333333333333333,0.5333333333333333,4.058333333333334,0.2903811252268602,0.1161524500907441,8.708333333333334,2.675,1.1416666666666666,0.6547619047619048,1.9666666666666666,2.625,0,0.2951216661626749,8.766666666666667,0.5380228136882129,0.049429657794676805,21.533333333333335,0.1056501547987616,3.714009287925696,0.8345577867818395,1.575,0.12467018469656992,1.1893139841688656,1.236734693877551,5.5,0.10833333333333334,0.008333333333333333,1.7083333333333333,0.3106060606060606,0.001483679525222552,0.9504761904761905,3.8583333333333334,2.7916666666666665,7.416666666666667,2.65,0.3573033707865168,76.2625786163522,0.28418299432521427,2.195026178010471,3.025,0.4078651685393258,179.61666666666667,0.5683399832977637,25.975,0.44166666666666665,0.017003529034327877,4.591666666666667,0,32.19166666666667,0,0,0,0,1,70.83333333333333,0.325,9.136666666666667,1.8333333333333333,0.7416666666666667
comms,溝通,團隊,70,0.5,0.8122379339420429,73.08333333333333,1,23.122500000000006,12.25,12.25,6.316666666666666,21.558333333333334,4.408333333333333,1.225,0.5833333333333334,3.825,0.27788279773156904,0.13232514177693763,8.733333333333333,2.591666666666667,1.1,0.6645529486366518,1.875,2.533333333333333,0,0.2957976529108718,9.358333333333333,0.5814781834372218,0.06678539626001781,21.558333333333334,0.1202164669501353,3.7862388867413994,0.8590207950409054,1.725,0.12568306010928962,1.1584699453551912,1.2972508591065293,5.85,0.058333333333333334,0.025,2.3666666666666667,0.4045584045584046,0.004213483146067416,1,3.975,2.8333333333333335,7.483333333333333,2.8916666666666666,0.3864142538975501,75.88040345821325,0.3110588216169645,2.3,3.25,0.43429844097995546,176.375,0.6015591778880226,25.641666666666666,0.39166666666666666,0.015274618134546636,4.408333333333333,0,31.866666666666667,0,0,0,0,1,69.55833333333334,0.30833333333333335,9.215000000000003,1.9833333333333334,0.55
comms,溝通,團隊,90,0.5128205128205128,0.8134162506210293,71.35833333333333,0.975,22.757708333333333,12.766666666666667,12.1,6.85,21.475,4.575,1.2666666666666666,0.6583333333333333,3.9166666666666665,0.2768670309653916,0.14389799635701275,8.45,2.6083333333333334,1.05,0.6487523992322456,2.1,2.475,0,0.29424461451521594,9.833333333333334,0.6067796610169491,0.060169491525423724,21.475,0.10904152114862242,3.7916181606519204,0.873693589778799,2.1,0.13961218836565098,1.2049861495844876,1.346749226006192,6.991666666666666,0.06666666666666667,0.016666666666666666,2.566666666666667,0.36710369487485106,0.002355712603062426,1.0550964187327825,3.875,2.8333333333333335,7.5,3.066666666666667,0.4088888888888889,77.49184782608695,0.3263873693423777,2.3302872062663185,3.275,0.43666666666666665,172.95833333333334,0.61835702240424,25.366666666666667,0.39166666666666666,0.015440210249671484,4.575,0,31.216666666666665,0,0,0,0,1,67.675,0.275,9.151666666666669,1.525,0.5666666666666667
mapAware,視野意識,戰術,40,0.43859649122807015,0.8131588377145488,73.625,0.95,23.48895833333332,12.35,14.45,5.725,21.566666666666666,4,0.9666666666666667,0.425,3.575,0.24166666666666667,0.10625,6.866666666666666,2.408333333333333,0.9916666666666667,0.6319018404907975,2.0083333333333333,1.9916666666666667,0,0.29750650334422585,9.475,0.58311345646438,0.08531222515391382,21.566666666666666,0.10046367851622874,3.6846986089644513,0.8276376902859204,1.75,0.13307984790874525,1.1837769328263625,1.2842809364548495,5.516666666666667,0.05,0.016666666666666666,1.4833333333333334,0.26888217522658614,0.0029850746268656717,0.8546712802768166,3.9833333333333334,2.8333333333333335,7.7,2.341666666666667,0.3041125541125541,77.66014234875443,0.2921489511191408,2.0832282471626735,2.8,0.3636363636363636,177.00833333333333,0.5558589520267407,23.775,0.4166666666666667,0.017525411847178412,4,0,33.05833333333333,0,0,0,0,1,68.6,0.21666666666666667,9.006666666666668,2.0833333333333335,0.7
mapAware,視野意識,戰術,70,0.5,0.8122379339420429,73.08333333333333,1,23.122500000000006,12.25,12.25,6.316666666666666,21.558333333333334,4.408333333333333,1.225,0.5833333333333334,3.825,0.27788279773156904,0.13232514177693763,8.733333333333333,2.591666666666667,1.1,0.6645529486366518,1.875,2.533333333333333,0,0.2957976529108718,9.358333333333333,0.5814781834372218,0.06678539626001781,21.558333333333334,0.1202164669501353,3.7862388867413994,0.8590207950409054,1.725,0.12568306010928962,1.1584699453551912,1.2972508591065293,5.85,0.058333333333333334,0.025,2.3666666666666667,0.4045584045584046,0.004213483146067416,1,3.975,2.8333333333333335,7.483333333333333,2.8916666666666666,0.3864142538975501,75.88040345821325,0.3110588216169645,2.3,3.25,0.43429844097995546,176.375,0.6015591778880226,25.641666666666666,0.39166666666666666,0.015274618134546636,4.408333333333333,0,31.866666666666667,0,0,0,0,1,69.55833333333334,0.30833333333333335,9.215000000000003,1.9833333333333334,0.55
mapAware,視野意識,戰術,90,0.5811965811965812,0.818718208066399,71.35833333333333,0.975,23.1226388888889,12.983333333333333,12.558333333333334,6.658333333333333,21.733333333333334,5.533333333333333,1.2583333333333333,0.7833333333333333,4.75,0.22740963855421686,0.14156626506024098,9.641666666666667,3.1333333333333333,1.425,0.6353651839648545,2.441666666666667,3.091666666666667,0,0.2936175449413395,9.308333333333334,0.6159355416293644,0.04118173679498657,21.733333333333334,0.1219325153374233,3.8032975460122698,0.8817446826402696,1.7916666666666667,0.12835820895522387,1.157014925373134,1.1496815286624205,5.816666666666666,0.13333333333333333,0.016666666666666666,1.6833333333333333,0.2893982808022923,0.002793296089385475,1.0338420703384206,4.158333333333333,2.8666666666666667,7.758333333333334,3.283333333333333,0.4232008592910848,76.3515228426396,0.3488266880892985,2.3742255266418835,3.7416666666666667,0.4822771213748657,176.38333333333333,0.6302088254748182,27.591666666666665,0.5,0.01812141347025068,5.533333333333333,0.05,30.391666666666666,0,2.4833333333333334,0,0,1,67.63333333333334,0.5333333333333333,9.378333333333337,2.05,0.775
decision,決策力,戰術,40,0.6160714285714286,0.8229282491898535,69.6,0.9333333333333333,23.54874999999999,13.733333333333333,15.525,6.475,21.35,5.391666666666667,1.5,0.7833333333333333,4.608333333333333,0.2782071097372488,0.14528593508500773,8.15,3.0083333333333333,1.4,0.6018461538461539,2.525,2.8666666666666667,0,0.2680445798060635,9.7,0.5670103092783506,0.07646048109965636,21.35,0.10343481654957065,3.745511319281811,0.8442120659860456,1.6666666666666667,0.11389521640091117,1.2465831435079728,1.364217252396166,6.575,0.19166666666666668,0.016666666666666666,2.4583333333333335,0.37389100126742714,0.002457002457002457,0.8845947396672034,4.141666666666667,2.933333333333333,8,3.1,0.3875,71.20967741935483,0.336908530403658,2.275522755227552,3.5416666666666665,0.4427083333333333,175.18333333333334,0.60355817714775,24.966666666666665,0.45,0.018024032042723633,5.391666666666667,0,33.958333333333336,0,0,0.03531237873496329,0,1,58.291666666666664,0.4166666666666667,9.473333333333334,2.175,0.7916666666666666
decision,決策力,戰術,70,0.5,0.8122379339420429,73.08333333333333,1,23.122500000000006,12.25,12.25,6.316666666666666,21.558333333333334,4.408333333333333,1.225,0.5833333333333334,3.825,0.27788279773156904,0.13232514177693763,8.733333333333333,2.591666666666667,1.1,0.6645529486366518,1.875,2.533333333333333,0,0.2957976529108718,9.358333333333333,0.5814781834372218,0.06678539626001781,21.558333333333334,0.1202164669501353,3.7862388867413994,0.8590207950409054,1.725,0.12568306010928962,1.1584699453551912,1.2972508591065293,5.85,0.058333333333333334,0.025,2.3666666666666667,0.4045584045584046,0.004213483146067416,1,3.975,2.8333333333333335,7.483333333333333,2.8916666666666666,0.3864142538975501,75.88040345821325,0.3110588216169645,2.3,3.25,0.43429844097995546,176.375,0.6015591778880226,25.641666666666666,0.39166666666666666,0.015274618134546636,4.408333333333333,0,31.866666666666667,0,0,0,0,1,69.55833333333334,0.30833333333333335,9.215000000000003,1.9833333333333334,0.55
decision,決策力,戰術,90,0.5221238938053098,0.809662299008241,76.24166666666666,0.9416666666666667,23.526319444444436,12.3,12.808333333333334,6.225,21.925,4.841666666666667,1.4666666666666666,0.725,4.116666666666666,0.30292598967297757,0.14974182444061962,9.058333333333334,2.7333333333333334,1.225,0.6516786570743405,2.341666666666667,2.5,0,0.3156479214785663,9.875,0.5940928270042194,0.05485232067510548,21.925,0.0927404028886355,3.761687571265678,0.8618981696031927,2.1166666666666667,0.13119834710743802,1.2200413223140496,1.2942942942942943,7.983333333333333,0.11666666666666667,0.008333333333333333,2.658333333333333,0.33298538622129437,0.0010277492291880781,0.9603122966818478,4.1,2.925,7.833333333333333,2.8833333333333333,0.36808510638297876,79.56936416184972,0.30965404213959496,2.192355117139334,3.2416666666666667,0.41382978723404257,180.78333333333333,0.6012261454780123,27.1,0.45,0.016605166051660517,4.841666666666667,0,29.666666666666668,0,2.683333333333333,0,0,1,74.58333333333333,0.35,9.171666666666663,1.4833333333333334,0.4583333333333333
leadership,領導力,團隊,40,0.4824561403508772,0.809774780769756,74.84166666666667,0.95,23.365555555555556,12.141666666666667,13.266666666666667,5.733333333333333,21.483333333333334,4.866666666666666,1.425,0.5583333333333333,4.308333333333334,0.29280821917808225,0.11472602739726029,8.566666666666666,2.683333333333333,1.2666666666666666,0.6377171215880894,2.275,2.591666666666667,0,0.2957077885615,8.875,0.5624413145539906,0.07511737089201878,21.483333333333334,0.10046547711404188,3.711404189294026,0.8301393313994959,1.8333333333333333,0.13095238095238096,1.2101190476190475,1.4256505576208178,6.116666666666666,0.058333333333333334,0.008333333333333333,1.8,0.29427792915531337,0.001347708894878706,0.9152010050251256,3.8,2.816666666666667,7.416666666666667,2.5416666666666665,0.3426966292134831,75.75081967213116,0.2870325115833513,2.1443433029908974,2.933333333333333,0.39550561797752803,179.19166666666666,0.5611310049760498,25.916666666666668,0.35833333333333334,0.01382636655948553,4.866666666666666,0,32.28333333333333,0,0,0,0,1,71.35,0.3,9.031666666666665,1.7916666666666667,0.6666666666666666
