key,zh,cat,value,winRate,fightUptime,returns,decidedRate,minutes,k,d,a,groupedFights,roamEpisodes,roamEngaged,roamPaid,roamMissed,roamEngageRate,roamPaidRate,roamDeclined,roamAborted,roamRetargeted,roamDeclineRate,roamLaneTop,roamLaneMid,roamLaneBot,retreatAtMean,tfRolls,tfGoRate,tfBehindRate,tfEpisodes,tfWonRate,tfPeakMean,tfHeadMean,tfSoloEntry,tfSoloRate,tfReadyAtEngage,tfArrivalSpread,tfCommit,tfHoldN,tfDecline,tfBadCommit,tfBadCommitRate,tfDeclineRate,tfExchange,dragonContests,baronContests,objSpawns,objRallies,objRallyRate,objRallyDelay,objHeadMean,objHeadPeak,objKills,objKillRate,objRolls,objRollGoRate,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
comms,溝通,團隊,40,0.5423728813559322,0.8099839533396838,73.4,0.9833333333333333,22.924583333333327,12.016666666666667,12.35,6.3,21.25,3.0833333333333335,0.9333333333333333,0.4166666666666667,2.6666666666666665,0.3027027027027027,0.13513513513513514,4.85,1.7666666666666666,0.85,0.611344537815126,1.55,1.5333333333333334,0,0.2965723765539181,9.483333333333333,0.5219683655536029,0.08963093145869948,21.25,0.11607843137254903,3.830588235294118,0.8739889856231485,2.05,0.14154200230149597,1.1657077100115074,1.096551724137931,7.2,0.11666666666666667,0,2.2666666666666666,0.3148148148148148,0,0.9730094466936573,4.2,3.0166666666666666,8.083333333333334,2.95,0.3649484536082474,64.74858757062147,0.3632089252455903,2.263157894736842,3.35,0.4144329896907216,182.41666666666666,0.6189127455459115,25.233333333333334,0.4,0.015852047556142668,3.0833333333333335,0.08333333333333333,30.183333333333334,0,0,0,0,1,69.88333333333334,0.31666666666666665,9.106666666666664,1.6,0.7
comms,溝通,團隊,70,0.5,0.8107953669935202,74.98333333333333,0.9333333333333333,23.45416666666667,12.916666666666666,12.916666666666666,7.2,22.783333333333335,2.45,0.55,0.4,2.05,0.22448979591836735,0.16326530612244897,5.6,1.2666666666666666,0.6,0.6956521739130433,1.2333333333333334,1.2166666666666666,0,0.2947858460485368,10.033333333333333,0.5930232558139535,0.053156146179401995,22.783333333333335,0.11997073884418434,3.7754206291148495,0.8950435246047255,2.1166666666666667,0.14547537227949597,1.1970217640320733,0.9193548387096774,6.733333333333333,0.25,0.03333333333333333,2.3833333333333333,0.35396039603960394,0.004750593824228029,1,4.366666666666666,3,8.133333333333333,3.2333333333333334,0.39754098360655743,66.51030927835052,0.35394582874449343,2.3247663551401865,3.566666666666667,0.43852459016393447,186.03333333333333,0.6500627127754883,25.933333333333334,0.5666666666666667,0.021850899742930592,2.45,0.08333333333333333,29.566666666666666,0,0,0,0,1,71.15,0.3333333333333333,9.353333333333332,1.3333333333333333,0.4
comms,溝通,團隊,90,0.55,0.8155473777765985,69.21666666666667,1,22.36125,11.6,11.966666666666667,6.433333333333334,21.733333333333334,2.283333333333333,0.5666666666666667,0.3333333333333333,1.95,0.24817518248175183,0.145985401459854,5.083333333333333,1.1833333333333333,0.6166666666666667,0.6900452488687783,1.1666666666666667,1.1166666666666667,0,0.2938871907348238,9.933333333333334,0.5989932885906041,0.07885906040268456,21.733333333333334,0.10506134969325152,3.8489263803680984,0.909814224756368,2.0166666666666666,0.1302475780409042,1.2938643702906352,1.1656250000000001,6.733333333333333,0.03333333333333333,0.03333333333333333,2.0166666666666666,0.2995049504950495,0.004901960784313725,0.969359331476323,4.25,2.933333333333333,8.083333333333334,3.433333333333333,0.42474226804123705,58.189320388349515,0.3939860397122748,2.323040380047506,3.6,0.445360824742268,174.68333333333334,0.6700696498425722,24.7,0.35,0.01417004048582996,2.283333333333333,0.08333333333333333,30.583333333333332,0,0,0,0,1,64.76666666666667,0.38333333333333336,9.186666666666666,2.0166666666666666,0.7333333333333333
leadership,領導力,團隊,40,0.559322033898305,0.8113145821873395,72.81666666666666,0.9833333333333333,22.927222222222223,12.25,12.45,6.166666666666667,21.1,3,0.75,0.4,2.6,0.25,0.13333333333333333,5.116666666666666,1.7,0.7833333333333333,0.6303901437371663,1.3833333333333333,1.6166666666666667,0,0.29641692195946806,9.533333333333333,0.5454545454545455,0.055944055944055944,21.1,0.12243285939968404,3.8293838862559237,0.8817696091497248,1.8,0.12934131736526946,1.155688622754491,1.1192052980132452,6.6,0.15,0.016666666666666666,2.3,0.34848484848484845,0.0024630541871921183,0.9839357429718876,4.05,2.9166666666666665,7.833333333333333,2.933333333333333,0.37446808510638296,72.45738636363636,0.3451577224262266,2.267639902676399,3.3833333333333333,0.4319148936170213,184.01666666666668,0.6133502400144913,25.35,0.45,0.01775147928994083,3,0.08333333333333333,30.616666666666667,0,0,0,0,1,68.96666666666667,0.2833333333333333,9.186666666666667,1.05,0.5
leadership,領導力,團隊,70,0.5,0.8107953669935202,74.98333333333333,0.9333333333333333,23.45416666666667,12.916666666666666,12.916666666666666,7.2,22.783333333333335,2.45,0.55,0.4,2.05,0.22448979591836735,0.16326530612244897,5.6,1.2666666666666666,0.6,0.6956521739130433,1.2333333333333334,1.2166666666666666,0,0.2947858460485368,10.033333333333333,0.5930232558139535,0.053156146179401995,22.783333333333335,0.11997073884418434,3.7754206291148495,0.8950435246047255,2.1166666666666667,0.14547537227949597,1.1970217640320733,0.9193548387096774,6.733333333333333,0.25,0.03333333333333333,2.3833333333333333,0.35396039603960394,0.004750593824228029,1,4.366666666666666,3,8.133333333333333,3.2333333333333334,0.39754098360655743,66.51030927835052,0.35394582874449343,2.3247663551401865,3.566666666666667,0.43852459016393447,186.03333333333333,0.6500627127754883,25.933333333333334,0.5666666666666667,0.021850899742930592,2.45,0.08333333333333333,29.566666666666666,0,0,0,0,1,71.15,0.3333333333333333,9.353333333333332,1.3333333333333333,0.4
leadership,領導力,團隊,90,0.5,0.8133209390172471,73.3,0.9666666666666667,23.16888888888889,12.083333333333334,13.433333333333334,6.7,22.05,2.533333333333333,0.48333333333333334,0.3333333333333333,2.2,0.19078947368421054,0.13157894736842105,5.416666666666667,1.45,0.6,0.6813417190775681,1.25,1.2833333333333334,0,0.2958116793484702,9.9,0.5774410774410774,0.07744107744107745,22.05,0.12093726379440664,3.851095993953137,0.9186349031267984,2.15,0.14913294797687862,1.2543352601156068,1.1360759493670887,5.983333333333333,0.1,0.05,1.9333333333333333,0.3231197771587744,0.008152173913043478,0.8995037220843672,4.216666666666667,3.1166666666666667,8.216666666666667,3.6166666666666667,0.44016227180527384,61.26036866359447,0.383909604519774,2.3325688073394493,3.6,0.4381338742393509,184.98333333333332,0.6749256689791874,25.65,0.23333333333333334,0.009096816114359975,2.533333333333333,0.08333333333333333,29.566666666666666,0,0,0,0,1,69.41666666666667,0.3333333333333333,9.209999999999999,2.066666666666667,0.75
synergy,配合度,團隊,40,0.48214285714285715,0.8101243896939949,75.36666666666666,0.9333333333333333,23.507083333333338,13.05,13.233333333333333,7.4,22.833333333333332,2.4,0.5166666666666667,0.43333333333333335,1.9666666666666666,0.21527777777777782,0.18055555555555558,5.633333333333334,1.2833333333333334,0.6,0.7012448132780084,1.25,1.15,0,0.295101137595209,10.166666666666666,0.5950819672131148,0.05081967213114755,22.833333333333332,0.12116788321167883,3.777372262773723,0.8974658938499626,2.033333333333333,0.14153132250580044,1.1705336426914152,0.856687898089172,6.533333333333333,0.03333333333333333,0,2.216666666666667,0.3392857142857143,0,0.9861460957178843,4.383333333333334,2.9833333333333334,8.1,3.2666666666666666,0.40329218106995884,67.83163265306123,0.3497910024190722,2.317016317016317,3.45,0.425925925925926,186.98333333333332,0.6509492824672432,25.983333333333334,0.5666666666666667,0.02180885182809493,2.4,0.08333333333333333,29.4,0,0,0,0,1,71.7,0.3333333333333333,9.34,1.3,0.38333333333333336
synergy,配合度,團隊,70,0.5,0.8107953669935202,74.98333333333333,0.9333333333333333,23.45416666666667,12.916666666666666,12.916666666666666,7.2,22.783333333333335,2.45,0.55,0.4,2.05,0.22448979591836735,0.16326530612244897,5.6,1.2666666666666666,0.6,0.6956521739130433,1.2333333333333334,1.2166666666666666,0,0.2947858460485368,10.033333333333333,0.5930232558139535,0.053156146179401995,22.783333333333335,0.11997073884418434,3.7754206291148495,0.8950435246047255,2.1166666666666667,0.14547537227949597,1.1970217640320733,0.9193548387096774,6.733333333333333,0.25,0.03333333333333333,2.3833333333333333,0.35396039603960394,0.004750593824228029,1,4.366666666666666,3,8.133333333333333,3.2333333333333334,0.39754098360655743,66.51030927835052,0.35394582874449343,2.3247663551401865,3.566666666666667,0.43852459016393447,186.03333333333333,0.6500627127754883,25.933333333333334,0.5666666666666667,0.021850899742930592,2.45,0.08333333333333333,29.566666666666666,0,0,0,0,1,71.15,0.3333333333333333,9.353333333333332,1.3333333333333333,0.4
synergy,配合度,團隊,90,0.38596491228070173,0.8090532416216125,75.88333333333334,0.95,23.525694444444447,12.55,13.383333333333333,6.916666666666667,22.55,2.6333333333333333,0.6166666666666667,0.45,2.183333333333333,0.23417721518987344,0.17088607594936708,5.633333333333334,1.45,0.7333333333333333,0.6814516129032258,1.35,1.2833333333333334,0,0.29596951494123913,10.3,0.5889967637540452,0.07281553398058252,22.55,0.11677753141167775,3.774575018477457,0.8998317442512619,1.8,0.12872467222884387,1.2061978545887964,0.983108108108108,5.833333333333333,1.55,0.7166666666666667,1.2666666666666666,0.21714285714285714,0.08847736625514403,0.9377334993773351,4.4,3.0166666666666666,8.116666666666667,3.0833333333333335,0.3798767967145791,67.35405405405406,0.3410108001670744,2.279620853080569,3.2333333333333334,0.3983572895277207,188.53333333333333,0.6438295615275814,25.95,0.4166666666666667,0.01605651894669236,2.6333333333333333,0.08333333333333333,29.866666666666667,0,0,0,0,1,72.26666666666667,0.3,9.15333333333333,1.5333333333333334,0.5
learning,學習力,團隊,40,0.4915254237288136,0.8139731606947375,73.26666666666667,0.9833333333333333,23.243055555555554,12.716666666666667,13.466666666666667,7.25,22.683333333333334,2.6666666666666665,0.6333333333333333,0.38333333333333336,2.283333333333333,0.2375,0.14375000000000002,5.716666666666667,1.5333333333333334,0.6666666666666666,0.6819085487077535,1.1666666666666667,1.5,0,0.2974229175767552,9.283333333333333,0.5906642728904847,0.06463195691202872,22.683333333333334,0.109478324761205,3.790595150624541,0.8851329548849717,1.95,0.14904458598726114,1.1605095541401274,0.9820143884892085,5.416666666666667,0.16666666666666666,0.03333333333333333,2.3666666666666667,0.4369230769230769,0.005934718100890208,0.9443069306930693,4.233333333333333,2.966666666666667,8.066666666666666,3.2,0.39669421487603307,61.247395833333336,0.36549744325827577,2.232718894009216,3.5166666666666666,0.4359504132231405,183.1,0.6501001274349172,25.733333333333334,0.35,0.01360103626943005,2.6666666666666665,0.08333333333333333,29.9,0,0,0,0,1,69.43333333333334,0.36666666666666664,9.179999999999998,1.5333333333333334,0.48333333333333334
