key,zh,cat,value,winRate,fightUptime,returns,decidedRate,minutes,k,d,a,groupedFights,roamEpisodes,roamEngaged,roamPaid,roamMissed,roamEngageRate,roamPaidRate,retreatAtMean,tfRolls,tfGoRate,tfBehindRate,tfEpisodes,tfWonRate,tfPeakMean,tfHeadMean,dragonContests,baronContests,objSpawns,objRallies,objRallyRate,objRallyDelay,objHeadMean,objHeadPeak,objKills,objKillRate,objRolls,objRollGoRate,ganks,gankKills,gankRate,roams,invades,towerPushes,splitPush,focusSwap,castMissRate,wasteRate,csRate,retreats,chaseDropped,mlv,diveTry,diveOk
positioning,走位,操作,40,0.6333333333333333,0.8193683749314622,69.16666666666667,1,22.585833333333337,11.966666666666667,13.433333333333334,5.516666666666667,20.3,0,0,0,0,,,0.2559540775006897,8.7,0.5383141762452108,0.08237547892720307,20.3,0.10016420361247946,3.7356321839080455,0.8334993666137819,4.033333333333333,2.683333333333333,7.533333333333333,2.9833333333333334,0.39601769911504425,72.63966480446928,0.33126653730816724,2.269230769230769,3.4,0.45132743362831856,169.8,0.5952100510404397,25.216666666666665,0.4166666666666667,0.016523463317911435,0,0,33.733333333333334,7.616666666666666,0,0,0.01628593022405344,1,60.86666666666667,0.4166666666666667,9.143333333333333,1.9166666666666667,0.8
positioning,走位,操作,70,0.5,0.8140852462352425,72.11666666666666,1,22.806111111111118,11.833333333333334,11.833333333333334,6.15,20.716666666666665,0,0,0,0,,,0.2957037336585635,8.1,0.5864197530864198,0.0720164609053498,20.716666666666665,0.11343523732904265,3.784392598551891,0.8372938539865046,3.85,2.683333333333333,7.433333333333334,2.816666666666667,0.37892376681614354,65.4792899408284,0.31509291179685534,2.235602094240838,3.183333333333333,0.42825112107623314,171.1,0.6072472238457043,25.366666666666667,0.4,0.015768725361366625,0,0,31.75,8.133333333333333,0,0,0,1,68.33333333333333,0.26666666666666666,9.156666666666666,1.4,0.43333333333333335
positioning,走位,操作,90,0.5087719298245614,0.8088828812453382,77.71666666666667,0.95,23.912222222222216,12.266666666666667,12.383333333333333,6.383333333333334,22.383333333333333,0,0,0,0,,,0.3225489477374156,8,0.6041666666666666,0.07708333333333334,22.383333333333333,0.11094564408041699,3.7565152643335815,0.8665024859439617,4.216666666666667,2.9166666666666665,8.066666666666666,3.1,0.384297520661157,79.7258064516129,0.32943887320286896,2.235576923076923,3.5166666666666666,0.4359504132231405,184.15,0.6040365643949679,26.683333333333334,0.4,0.014990630855715179,0,0,29.983333333333334,8.2,0,0,0,1,76.45,0.26666666666666666,9.276666666666667,2.05,0.9333333333333333
decision,決策力,戰術,40,0.5370370370370371,0.8234041060593353,72.26666666666667,0.9,24.306805555555563,15.083333333333334,16.516666666666666,6.75,22.233333333333334,0,0,0,0,,,0.26800822677432246,8.316666666666666,0.5851703406813626,0.05410821643286574,22.233333333333334,0.10119940029985007,3.742128935532234,0.8514133558845545,4.233333333333333,3.033333333333333,8.333333333333334,3,0.36,73.87222222222222,0.32866404996106724,2.150812064965197,3.816666666666667,0.458,184.73333333333332,0.6025802959220499,25.933333333333334,0.5166666666666667,0.019922879177377895,0,0,34.28333333333333,6.8,0,0.036594473487677415,0,1,60.516666666666666,0.2,9.683333333333335,2.8666666666666667,1.0333333333333334
decision,決策力,戰術,70,0.5,0.8140852462352425,72.11666666666666,1,22.806111111111118,11.833333333333334,11.833333333333334,6.15,20.716666666666665,0,0,0,0,,,0.2957037336585635,8.1,0.5864197530864198,0.0720164609053498,20.716666666666665,0.11343523732904265,3.784392598551891,0.8372938539865046,3.85,2.683333333333333,7.433333333333334,2.816666666666667,0.37892376681614354,65.4792899408284,0.31509291179685534,2.235602094240838,3.183333333333333,0.42825112107623314,171.1,0.6072472238457043,25.366666666666667,0.4,0.015768725361366625,0,0,31.75,8.133333333333333,0,0,0,1,68.33333333333333,0.26666666666666666,9.156666666666666,1.4,0.43333333333333335
decision,決策力,戰術,90,0.5172413793103449,0.8091585196015925,77.4,0.9666666666666667,23.90597222222222,12.933333333333334,12.916666666666666,6.866666666666666,22.15,0,0,0,0,,,0.314969135703435,8.883333333333333,0.5572232645403378,0.061913696060037535,22.15,0.10835214446952596,3.776523702031603,0.8606171168292442,4.166666666666667,2.8833333333333333,7.766666666666667,2.783333333333333,0.3583690987124463,78.6676646706587,0.30565810407945754,2.2078239608801957,3.2666666666666666,0.4206008583690987,182.25,0.6043895747599451,27.516666666666666,0.5,0.018170805572380377,0,0,29.516666666666666,9.183333333333334,2.316666666666667,0,0,1,75.51666666666667,0.21666666666666667,9.363333333333335,1.4,0.6166666666666667
adaptability,應變力,戰術,40,0.559322033898305,0.8199314311019977,68.66666666666667,0.9833333333333333,22.720972222222223,11.633333333333333,13.6,5.766666666666667,20.316666666666666,0,0,0,0,,,0.29629600139743695,7.9,0.5358649789029536,0.052742616033755275,20.316666666666666,0.11156685808039377,3.7325676784249384,0.831042049990525,3.95,2.7666666666666666,7.533333333333333,2.8333333333333335,0.3761061946902655,72.35,0.32417289679470657,2.2379746835443037,3.25,0.4314159292035398,167.03333333333333,0.6034723608062262,25.283333333333335,0.43333333333333335,0.017139090309822018,0,0,32.18333333333333,6.8,0,0,0,1,62.45,0.2,9.096666666666666,1.1166666666666667,0.43333333333333335
adaptability,應變力,戰術,70,0.5,0.8140852462352425,72.11666666666666,1,22.806111111111118,11.833333333333334,11.833333333333334,6.15,20.716666666666665,0,0,0,0,,,0.2957037336585635,8.1,0.5864197530864198,0.0720164609053498,20.716666666666665,0.11343523732904265,3.784392598551891,0.8372938539865046,3.85,2.683333333333333,7.433333333333334,2.816666666666667,0.37892376681614354,65.4792899408284,0.31509291179685534,2.235602094240838,3.183333333333333,0.42825112107623314,171.1,0.6072472238457043,25.366666666666667,0.4,0.015768725361366625,0,0,31.75,8.133333333333333,0,0,0,1,68.33333333333333,0.26666666666666666,9.156666666666666,1.4,0.43333333333333335
adaptability,應變力,戰術,90,0.39655172413793105,0.8108922682255125,75.7,0.9666666666666667,23.347777777777782,12.166666666666666,12.633333333333333,6.183333333333334,21.883333333333333,0,0,0,0,,,0.29738517268068176,7.966666666666667,0.5711297071129707,0.10460251046025106,21.883333333333333,0.11957349581111958,3.76009139375476,0.8638342930566791,4.033333333333333,2.9,7.7,2.7333333333333334,0.354978354978355,70.64634146341463,0.3028671098214788,2.2202531645569623,3.0833333333333335,0.4004329004329004,178.15,0.6023949854991112,25.95,0.48333333333333334,0.018625561978163136,0,0,32.86666666666667,9.15,1.35,0,0,1,72.36666666666666,0.3,9.140000000000004,1.1833333333333333,0.31666666666666665
courage,勇氣,心理,40,0.4067796610169492,0.80632012529573,77.43333333333334,0.9833333333333333,23.32597222222222,13.433333333333334,10.733333333333333,6.9,21.466666666666665,0,0,0,0,,,0.3451572009409361,7.1,0.5305164319248826,0.061032863849765265,21.466666666666665,0.12344720496894411,3.7748447204968945,0.8386395708169838,4,2.816666666666667,7.483333333333333,2.816666666666667,0.3763919821826281,76.45857988165679,0.31522517808991024,2.2982005141388173,3.35,0.44766146993318484,175,0.602,25.9,0.4666666666666667,0.018018018018018018,0,0,29.916666666666668,7.483333333333333,0,0,0,1,77.93333333333334,0.21666666666666667,9.300000000000002,1.85,0.7666666666666667
